Week,TeamName,PlayerName,LineupPosition,Points
2,androooooo,DANDRE SWIFT,RB,12.40
2,androooooo,CHRIS GODWIN,WR,40.40
2,androooooo,RASHID SHAHEED,WR,34.80
2,androooooo,MIKE MAYER,TE,3.20
2,androooooo,CHRIS OLAVE,FLEX,22.60
2,androooooo,JALEN TOLBERT,FLEX,22.40
2,androooooo,ANDREI IOSIVAS,FLEX,15.40
2,androooooo,BRANDON AIYUK,FLEX,12.60
2,androooooo,CALEB WILLIAMS,SUPER_FLEX,18.20
2,ShadyCommish88,JAYDEN DANIELS,QB,31.40
2,ShadyCommish88,BRIAN ROBINSON,RB,31.20
2,ShadyCommish88,ISIAH PACHECO,RB,30.20
2,ShadyCommish88,MARVIN HARRISON,WR,45.00
2,ShadyCommish88,ZAY FLOWERS,WR,31.20
2,ShadyCommish88,BROCK BOWERS,TE,28.60
2,ShadyCommish88,CEEDEE LAMB,FLEX,29.00
2,ShadyCommish88,QUENTIN JOHNSTON,FLEX,27.20
2,ShadyCommish88,BRAELON ALLEN,FLEX,25.20
2,ShadyCommish88,CHUBA HUBBARD,FLEX,19.20
2,ShadyCommish88,GARDNER MINSHEW,SUPER_FLEX,29.40
2,emanueljd3,KIRK COUSINS,QB,35.90
2,emanueljd3,JAMES COOK,RB,38.00
2,emanueljd3,JAMES CONNER,RB,34.80
2,emanueljd3,DAVANTE ADAMS,WR,40.00
2,emanueljd3,JUSTIN JEFFERSON,WR,39.60
2,emanueljd3,SAM LAPORTA,TE,4.60
2,emanueljd3,CALVIN RIDLEY,FLEX,33.40
2,emanueljd3,DERRICK HENRY,FLEX,26.20
2,emanueljd3,RHAMONDRE STEVENSON,FLEX,26.00
2,emanueljd3,JAMESON WILLIAMS,FLEX,24.80
2,emanueljd3,BAKER MAYFIELD,SUPER_FLEX,33.30
2,lamjohnson56,GENO SMITH,QB,43.30
2,lamjohnson56,TONY POLLARD,RB,28.40
2,lamjohnson56,TY CHANDLER,RB,16.40
2,lamjohnson56,DEVONTA SMITH,WR,28.20
2,lamjohnson56,RASHEE RICE,WR,26.00
2,lamjohnson56,GEORGE KITTLE,TE,28.20
2,lamjohnson56,AARON JONES,FLEX,14.60
2,lamjohnson56,LUKE SCHOONMAKER,FLEX,14.60
2,lamjohnson56,TYLER ALLGEIER,FLEX,14.00
2,lamjohnson56,JAYLEN WADDLE,FLEX,13.00
2,lamjohnson56,PATRICK MAHOMES,SUPER_FLEX,24.90
2,mlum20,DANIEL JONES,QB,36.20
2,mlum20,JORDAN MASON,RB,30.80
